Events,Location,Date,R_fighter,B_fighter,Winner,R_odds,B_odds,Favorite,Who_won
UFC Fight Night: Kattar vs. Chikadze,Las Vegas,2022-01-15,Charles Rosa,T.J. Brown,T.J. Brown,200,-200,T.J. Brown,favorite
UFC 270,Anaheim,2022-01-22,Francis Ngannou,Ciryl Gane,Francis Ngannou,135,-133,Ciryl Gane,underdog
UFC 270,Anaheim,2022-01-22,Brandon Moreno,Deiveson Figueiredo,Deiveson Figueiredo,-179,165,Brandon Moreno,underdog
UFC 270,Anaheim,2022-01-22,Michel Pereira,Andre Fialho,Michel Pereira,-278,250,Michel Pereira,favorite
UFC 270,Anaheim,2022-01-22,Cody Stamann,Said Nurmagomedov,Said Nurmagomedov,170,-169,Said Nurmagomedov,favorite
UFC 270,Anaheim,2022-01-22,Michael Morales,Trevin Giles,Michael Morales,104,-105,Trevin Giles,underdog
UFC 270,Anaheim,2022-01-22,Victor Henry,Raoni Barcelos,Victor Henry,425,-455,Raoni Barcelos,underdog
UFC 270,Anaheim,2022-01-22,Jack Della Maddalena,Pete Rodriguez,Jack Della Maddalena,-400,290,Jack Della Maddalena,favorite
UFC 270,Anaheim,2022-01-22,Tony Gravely,Saimon Oliveira,Tony Gravely,-250,235,Tony Gravely,favorite
UFC 270,Anaheim,2022-01-22,Matt Frevola,Genaro Valdez,Matt Frevola,-200,188,Matt Frevola,favorite
UFC 270,Anaheim,2022-01-22,Vanessa Demopoulos,Silvana Gomez Juarez,Vanessa Demopoulos,-149,120,Vanessa Demopoulos,favorite
UFC 270,Anaheim,2022-01-22,Kay Hansen,Jasmine Jasudavicius,Jasmine Jasudavicius,-175,175,Kay Hansen,underdog
UFC 271,Houston,2022-02-12,Israel Adesanya,Robert Whittaker,Israel Adesanya,-278,265,Israel Adesanya,favorite
UFC 271,Houston,2022-02-12,Derrick Lewis,Tai Tuivasa,Tai Tuivasa,-161,165,Derrick Lewis,underdog
UFC 271,Houston,2022-02-12,Derek Brunson,Jared Cannonier,Jared Cannonier,150,-154,Jared Cannonier,favorite
UFC 271,Houston,2022-02-12,Alexander Hernandez,Renato Moicano,Renato Moicano,150,-149,Renato Moicano,favorite
UFC 271,Houston,2022-02-12,Bobby Green,Nasrat Haqparast,Bobby Green,-141,140,Bobby Green,favorite
UFC 271,Houston,2022-02-12,Andrei Arlovski,Jared Vanderaa,Andrei Arlovski,-145,150,Andrei Arlovski,favorite
UFC 271,Houston,2022-02-12,Roxanne Modafferi,Casey O'Neill,Casey O'Neill,330,-345,Casey O'Neill,favorite
UFC 271,Houston,2022-02-12,Kyler Phillips,Marcelo Rojo,Kyler Phillips,-345,400,Kyler Phillips,favorite
UFC 271,Houston,2022-02-12,Carlos Ulberg,Fabio Cherant,Carlos Ulberg,-200,240,Carlos Ulberg,favorite
UFC 271,Houston,2022-02-12,Ronnie Lawrence,Mana Martinez,Ronnie Lawrence,-303,275,Ronnie Lawrence,favorite
UFC 271,Houston,2022-02-12,AJ Dobson,Jacob Malkoun,Jacob Malkoun,-102,130,AJ Dobson,underdog
UFC 271,Houston,2022-02-12,Douglas Silva de Andrade,Sergey Morozov,Douglas Silva de Andrade,200,-208,Sergey Morozov,underdog
UFC 271,Houston,2022-02-12,Mike Mathetha,Jeremiah Wells,Jeremiah Wells,200,-222,Jeremiah Wells,favorite
UFC 271,Houston,2022-02-12,William Knight,Maxim Grishin,Maxim Grishin,150,-161,Maxim Grishin,favorite
UFC Fight Night: Green vs. Makhachev,Las Vegas,2022-02-26,Bobby Green,Islam Makhachev,Islam Makhachev,660,-769,Islam Makhachev,favorite
UFC Fight Night: Green vs. Makhachev,Las Vegas,2022-02-26,Wellington Turman,Misha Cirkunov,Wellington Turman,120,-145,Misha Cirkunov,underdog
UFC Fight Night: Green vs. Makhachev,Las Vegas,2022-02-26,Ji Yeon Kim,Priscila Cachoeira,Priscila Cachoeira,-161,200,Ji Yeon Kim,underdog
UFC Fight Night: Green vs. Makhachev,Las Vegas,2022-02-26,Arman Tsarukyan,Joel Alvarez,Arman Tsarukyan,-250,195,Arman Tsarukyan,favorite
UFC Fight Night: Green vs. Makhachev,Las Vegas,2022-02-26,Gregory Rodrigues,Armen Petrosyan,Armen Petrosyan,-141,165,Gregory Rodrigues,underdog
UFC Fight Night: Green vs. Makhachev,Las Vegas,2022-02-26,Ignacio Bahamondes,Zhu Rong,Ignacio Bahamondes,-200,225,Ignacio Bahamondes,favorite
UFC Fight Night: Green vs. Makhachev,Las Vegas,2022-02-26,Josiane Nunes,Ramona Pascual,Josiane Nunes,-233,190,Josiane Nunes,favorite
UFC Fight Night: Green vs. Makhachev,Las Vegas,2022-02-26,Terrance McKinney,Fares Ziam,Terrance McKinney,125,-106,Fares Ziam,underdog
UFC Fight Night: Green vs. Makhachev,Las Vegas,2022-02-26,Alejandro Perez,Jonathan Martinez,Jonathan Martinez,263,-227,Jonathan Martinez,favorite
UFC Fight Night: Green vs. Makhachev,Las Vegas,2022-02-26,Ramiz Brahimaj,Micheal Gillmore,Ramiz Brahimaj,-345,330,Ramiz Brahimaj,favorite
UFC Fight Night: Green vs. Makhachev,Las Vegas,2022-02-26,Victor Altamirano,Carlos Hernandez,Carlos Hernandez,153,-105,Carlos Hernandez,favorite
UFC 272,Las Vegas,2022-03-05,Colby Covington,Jorge Masvidal,Colby Covington,-303,275,Colby Covington,favorite
UFC 272,Las Vegas,2022-03-05,Renato Moicano,Rafael dos Anjos,Rafael dos Anjos,165,-175,Rafael dos Anjos,favorite
UFC 272,Las Vegas,2022-03-05,Edson Barboza,Bryce Mitchell,Bryce Mitchell,154,-164,Bryce Mitchell,favorite
UFC 272,Las Vegas,2022-03-05,Kevin Holland,Alex Oliveira,Kevin Holland,-385,425,Kevin Holland,favorite
UFC 272,Las Vegas,2022-03-05,Greg Hardy,Sergey Spivak,Sergey Spivak,165,-167,Sergey Spivak,favorite
UFC 272,Las Vegas,2022-03-05,Jalin Turner,Jamie Mullarkey,Jalin Turner,-149,142,Jalin Turner,favorite
UFC 272,Las Vegas,2022-03-05,Marina Alcalde Rodriguez,Yan Xiaonan,Marina Alcalde Rodriguez,-278,260,Marina Alcalde Rodriguez,favorite
UFC 272,Las Vegas,2022-03-05,Nick Negumereanu,Kennedy Nzechukwu,Nick Negumereanu,125,-125,Kennedy Nzechukwu,underdog
UFC 272,Las Vegas,2022-03-05,Mariya Agapova,Maryna Moroz,Maryna Moroz,-164,155,Mariya Agapova,underdog
UFC 272,Las Vegas,2022-03-05,Brian Kelleher,Umar Nurmagomedov,Umar Nurmagomedov,750,-909,Umar Nurmagomedov,favorite
UFC 272,Las Vegas,2022-03-05,Tim Elliott,Tagir Ulanbekov,Tim Elliott,200,-227,Tagir Ulanbekov,underdog
UFC 272,Las Vegas,2022-03-05,Devonte Smith,Ludovit Klein,Ludovit Klein,-143,133,Devonte Smith,underdog
UFC 272,Las Vegas,2022-03-05,Dustin Jacoby,Michal Oleksiejczuk,Dustin Jacoby,-196,180,Dustin Jacoby,favorite
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Thiago Santos,Magomed Ankalaev,Magomed Ankalaev,520,-625,Magomed Ankalaev,favorite
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Marlon Moraes,Yadong Song,Yadong Song,250,-270,Yadong Song,favorite
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Sodiq Yusuff,Alex Caceres,Sodiq Yusuff,-250,240,Sodiq Yusuff,favorite
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Khalil Rountree,Karl Roberson,Khalil Rountree,137,-141,Karl Roberson,underdog
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Drew Dober,Terrance McKinney,Drew Dober,-149,140,Drew Dober,favorite
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Bruno Silva,Alex Pereira,Alex Pereira,188,-189,Alex Pereira,favorite
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Matt Semelsberger,A.J. Fletcher,Matt Semelsberger,-167,172,Matt Semelsberger,favorite
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,J.J. Aldrich,Gillian Robertson,J.J. Aldrich,115,-115,Gillian Robertson,underdog
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Trevin Jones,Javid Basharat,Javid Basharat,165,-159,Javid Basharat,favorite
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Damon Jackson,Kamuela Kirk,Damon Jackson,-111,120,Damon Jackson,favorite
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Sabina Mazo,Miranda Maverick,Miranda Maverick,305,-323,Miranda Maverick,favorite
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Dalcha Lungiambula,Cody Brundage,Cody Brundage,-125,130,Dalcha Lungiambula,underdog
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Guido Cannetti,Kris Moutinho,Guido Cannetti,145,-149,Kris Moutinho,underdog
UFC Fight Night: Santos vs. Ankalaev,Las Vegas,2022-03-12,Tafon Nchukwi,Azamat Murzakanov,Azamat Murzakanov,187,-179,Azamat Murzakanov,favorite
UFC Fight Night: Volkov vs. Aspinall,London,2022-03-19,Tom Aspinall,Alexander Volkov,Tom Aspinall,-118,120,Tom Aspinall,favorite
UFC Fight Night: Volkov vs. Aspinall,London,2022-03-19,Daniel Hooker,Arnold Allen,Arnold Allen,100,-103,Arnold Allen,favorite
UFC Fight Night: Volkov vs. Aspinall,London,2022-03-19,Paddy Pimblett,Rodrigo Vargas,Paddy Pimblett,-556,525,Paddy Pimblett,favorite
UFC Fight Night: Volkov vs. Aspinall,London,2022-03-19,Gunnar Nelson,Takashi Sato,Gunnar Nelson,-500,500,Gunnar Nelson,favorite
UFC Fight Night: Volkov vs. Aspinall,London,2022-03-19,Molly McCann,Luana Carolina,Molly McCann,-141,144,Molly McCann,favorite
UFC Fight Night: Volkov vs. Aspinall,London,2022-03-19,Jai Herbert,Ilia Topuria,Ilia Topuria,450,-556,Ilia Topuria,favorite
UFC Fight Night: Volkov vs. Aspinall,London,2022-03-19,Mike Grundy,Makwan Amirkhani,Makwan Amirkhani,-227,255,Mike Grundy,underdog
UFC Fight Night: Volkov vs. Aspinall,London,2022-03-19,Shamil Abdurakhimov,Sergey Pavlovich,Sergey Pavlovich,295,-323,Sergey Pavlovich,favorite
UFC Fight Night: Volkov vs. Aspinall,London,2022-03-19,Nikita Krylov,Paul Craig,Paul Craig,-189,191,Nikita Krylov,underdog
UFC Fight Night: Volkov vs. Aspinall,London,2022-03-19,Jack Shore,Timur Valiev,Jack Shore,-111,120,Jack Shore,favorite
UFC Fight Night: Volkov vs. Aspinall,London,2022-03-19,Elise Reed,Cory McKenna,Elise Reed,285,-278,Cory McKenna,underdog
UFC Fight Night: Volkov vs. Aspinall,London,2022-03-19,Muhammad Mokaev,Cody Durden,Muhammad Mokaev,-500,450,Muhammad Mokaev,favorite
UFC 273,Jacksonville,2022-04-09,Alex Volkanovski,Chan Sung Jung,Alex Volkanovski,-556,500,Alex Volkanovski,favorite
UFC 273,Jacksonville,2022-04-09,Aljamain Sterling,Petr Yan,Aljamain Sterling,350,-370,Petr Yan,underdog
UFC 273,Jacksonville,2022-04-09,Gilbert Burns,Khamzat Chimaev,Khamzat Chimaev,425,-500,Khamzat Chimaev,favorite
UFC 273,Jacksonville,2022-04-09,Mackenzie Dern,Tecia Pennington,Mackenzie Dern,-115,110,Mackenzie Dern,favorite
UFC 273,Jacksonville,2022-04-09,Vinc Pichel,Mark O. Madsen,Mark O. Madsen,-105,112,Vinc Pichel,underdog
UFC 273,Jacksonville,2022-04-09,Ian Garry,Darian Weeks,Ian Garry,-357,375,Ian Garry,favorite
UFC 273,Jacksonville,2022-04-09,Josh Fremd,Anthony Hernandez,Anthony Hernandez,165,-172,Anthony Hernandez,favorite
UFC 273,Jacksonville,2022-04-09,Raquel Pennington,Aspen Ladd,Raquel Pennington,-154,150,Raquel Pennington,favorite
UFC 273,Jacksonville,2022-04-09,Mickey Gall,Mike Malott,Mike Malott,150,-154,Mike Malott,favorite
UFC 273,Jacksonville,2022-04-09,Jared Vanderaa,Aleksei Oleinik,Aleksei Oleinik,-130,135,Jared Vanderaa,underdog
UFC 273,Jacksonville,2022-04-09,Kay Hansen,Piera Rodriguez,Piera Rodriguez,110,-116,Piera Rodriguez,favorite
UFC 273,Jacksonville,2022-04-09,Julio Arce,Daniel Santos,Julio Arce,-175,190,Julio Arce,favorite
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Vicente Luque,Belal Muhammad,Belal Muhammad,-161,170,Vicente Luque,underdog
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Caio Borralho,Gadzhi Omargadzhiev,Caio Borralho,110,-120,Gadzhi Omargadzhiev,underdog
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Miguel Baeza,Andre Fialho,Andre Fialho,-161,162,Miguel Baeza,underdog
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Mayra Bueno Silva,Yanan Wu,Mayra Bueno Silva,-476,500,Mayra Bueno Silva,favorite
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Pat Sabatini,T.J. Laramie,Pat Sabatini,-500,475,Pat Sabatini,favorite
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Ange Loosa,Mounir Lazzez,Mounir Lazzez,180,-189,Mounir Lazzez,favorite
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Devin Clark,William Knight,Devin Clark,-164,160,Devin Clark,favorite
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Lina Lansberg,Pannie Kianzad,Pannie Kianzad,450,-417,Pannie Kianzad,favorite
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Drakkar Klose,Brandon Jenkins,Drakkar Klose,-526,500,Drakkar Klose,favorite
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Jesse Ronson,Rafa Garcia,Rafa Garcia,-123,140,Jesse Ronson,underdog
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Chris Barnett,Martin Buday,Martin Buday,280,-250,Martin Buday,favorite
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Sam Hughes,Istela Nunes,Sam Hughes,220,-227,Istela Nunes,underdog
UFC Fight Night: Luque vs. Muhammad II,Las Vegas,2022-04-16,Heili Alateng,Kevin Croom,Heili Alateng,-164,155,Heili Alateng,favorite
UFC Fight Night: Błachowicz vs. Rakić,Las Vegas,2022-05-14,Jan Blachowicz,Aleksandar Rakic,Jan Blachowicz,175,-204,Aleksandar Rakic,underdog
UFC Fight Night: Błachowicz vs. Rakić,Las Vegas,2022-05-14,Ryan Spann,Ion Cutelaba,Ryan Spann,215,-256,Ion Cutelaba,underdog
UFC Fight Night: Błachowicz vs. Rakić,Las Vegas,2022-05-14,Louis Smolka,Davey Grant,Davey Grant,245,-278,Davey Grant,favorite
UFC Fight Night: Błachowicz vs. Rakić,Las Vegas,2022-05-14,Katlyn Cerminara,Amanda Ribas,Katlyn Cerminara,-172,165,Katlyn Cerminara,favorite
UFC Fight Night: Błachowicz vs. Rakić,Las Vegas,2022-05-14,Frank Camacho,Manuel Torres,Manuel Torres,115,-125,Manuel Torres,favorite
UFC Fight Night: Błachowicz vs. Rakić,Las Vegas,2022-05-14,Jake Hadley,Allan Nascimento,Allan Nascimento,-200,180,Jake Hadley,underdog
UFC Fight Night: Błachowicz vs. Rakić,Las Vegas,2022-05-14,Viviane Araujo,Andrea Lee,Viviane Araujo,115,-122,Andrea Lee,underdog
UFC Fight Night: Błachowicz vs. Rakić,Las Vegas,2022-05-14,Michael Johnson,Alan Patrick,Michael Johnson,-147,143,Michael Johnson,favorite
UFC Fight Night: Błachowicz vs. Rakić,Las Vegas,2022-05-14,Virna Jandiroba,Angela Hill,Virna Jandiroba,-189,185,Virna Jandiroba,favorite
UFC Fight Night: Błachowicz vs. Rakić,Las Vegas,2022-05-14,Tatsuro Taira,Carlos Candelario,Tatsuro Taira,-303,280,Tatsuro Taira,favorite
UFC Fight Night: Błachowicz vs. Rakić,Las Vegas,2022-05-14,Nick Maximov,Andre Petroski,Andre Petroski,-345,370,Nick Maximov,underdog
UFC Fight Night: Holm vs. Vieira,Las Vegas,2022-05-21,Holly Holm,Ketlen Vieira,Ketlen Vieira,-222,200,Holly Holm,underdog
UFC Fight Night: Holm vs. Vieira,Las Vegas,2022-05-21,Santiago Ponzinibbio,Michel Pereira,Michel Pereira,125,-130,Michel Pereira,favorite
UFC Fight Night: Holm vs. Vieira,Las Vegas,2022-05-21,Polyana Viana,Tabatha Ricci,Tabatha Ricci,115,-127,Tabatha Ricci,favorite
UFC Fight Night: Holm vs. Vieira,Las Vegas,2022-05-21,Eryk Anders,Jun Yong Park,Jun Yong Park,175,-185,Jun Yong Park,favorite
UFC Fight Night: Holm vs. Vieira,Las Vegas,2022-05-21,Alen Amedovski,Joseph Holmes,Joseph Holmes,187,-179,Joseph Holmes,favorite
UFC Fight Night: Holm vs. Vieira,Las Vegas,2022-05-21,Omar Morales,Uros Medic,Uros Medic,-125,125,Omar Morales,underdog
UFC Fight Night: Holm vs. Vieira,Las Vegas,2022-05-21,Jonathan Martinez,Vincent Morales,Jonathan Martinez,-244,230,Jonathan Martinez,favorite
UFC Fight Night: Holm vs. Vieira,Las Vegas,2022-05-21,Chase Hooper,Felipe Colares,Chase Hooper,162,-141,Felipe Colares,underdog
UFC Fight Night: Holm vs. Vieira,Las Vegas,2022-05-21,Elise Reed,Sam Hughes,Sam Hughes,-127,132,Elise Reed,underdog
UFC 275,Kallang,2022-06-11,Glover Teixeira,Jiri Prochazka,Jiri Prochazka,188,-196,Jiri Prochazka,favorite
UFC 275,Kallang,2022-06-11,Valentina Shevchenko,Taila Santos,Valentina Shevchenko,-500,550,Valentina Shevchenko,favorite
UFC 275,Kallang,2022-06-11,Weili Zhang,Joanna Jedrzejczyk,Weili Zhang,-154,150,Weili Zhang,favorite
UFC 275,Kallang,2022-06-11,Andre Fialho,Jake Matthews,Jake Matthews,102,100,Jake Matthews,favorite
UFC 275,Kallang,2022-06-11,Jack Della Maddalena,Ramazan Emeev,Jack Della Maddalena,-169,162,Jack Della Maddalena,favorite
UFC 275,Kallang,2022-06-11,Seung Woo Choi,Joshua Culibao,Joshua Culibao,-208,194,Seung Woo Choi,underdog
UFC 275,Kallang,2022-06-11,Steve Garcia,Hayisaer Maheshate,Hayisaer Maheshate,-175,185,Steve Garcia,underdog
UFC 275,Kallang,2022-06-11,Brendan Allen,Jacob Malkoun,Brendan Allen,-270,260,Brendan Allen,favorite
UFC 275,Kallang,2022-06-11,Kyung Ho Kang,Danaa Batgerel,Kyung Ho Kang,110,105,Danaa Batgerel,underdog
UFC 275,Kallang,2022-06-11,Silvana Gomez Juarez,Na Liang,Silvana Gomez Juarez,110,-111,Na Liang,underdog
UFC 275,Kallang,2022-06-11,Joselyne Edwards,Ramona Pascual,Joselyne Edwards,-164,150,Joselyne Edwards,favorite
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Calvin Kattar,Josh Emmett,Josh Emmett,-238,235,Calvin Kattar,underdog
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Tim Means,Kevin Holland,Kevin Holland,285,-312,Kevin Holland,favorite
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Joaquin Buckley,Albert Duraev,Joaquin Buckley,195,-200,Albert Duraev,underdog
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Damir Ismagulov,Guram Kutateladze,Damir Ismagulov,-196,190,Damir Ismagulov,favorite
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Julian Marquez,Gregory Rodrigues,Gregory Rodrigues,150,-154,Gregory Rodrigues,favorite
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Adrian Yanez,Tony Kelley,Adrian Yanez,-278,270,Adrian Yanez,favorite
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Jasmine Jasudavicius,Natalia Cristina da Silva,Natalia Cristina da Silva,-238,220,Jasmine Jasudavicius,underdog
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Jeremiah Wells,Court McGee,Jeremiah Wells,100,205,Jeremiah Wells,favorite
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Ricardo Ramos,Danny Chavez,Ricardo Ramos,-294,285,Ricardo Ramos,favorite
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Gloria de Paula,Maria Oliveira,Maria Oliveira,-256,260,Gloria de Paula,underdog
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Cody Stamann,Eddie Wineland,Cody Stamann,-588,600,Cody Stamann,favorite
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Phil Hawes,Deron Winn,Phil Hawes,-250,230,Phil Hawes,favorite
UFC Fight Night: Kattar vs. Emmett,Austin,2022-06-18,Kyle Daukaus,Roman Dolidze,Roman Dolidze,-238,240,Kyle Daukaus,underdog
UFC Fight Night: Tsarukyan vs. Gamrot,Las Vegas,2022-06-25,Arman Tsarukyan,Mateusz Gamrot,Mateusz Gamrot,-233,225,Arman Tsarukyan,underdog
UFC Fight Night: Tsarukyan vs. Gamrot,Las Vegas,2022-06-25,Neil Magny,Shavkat Rakhmonov,Shavkat Rakhmonov,400,-435,Shavkat Rakhmonov,favorite
UFC Fight Night: Tsarukyan vs. Gamrot,Las Vegas,2022-06-25,Josh Parisian,Alan Baudot,Josh Parisian,-111,116,Josh Parisian,favorite
UFC Fight Night: Tsarukyan vs. Gamrot,Las Vegas,2022-06-25,Thiago Moises,Christos Giagos,Thiago Moises,-227,220,Thiago Moises,favorite
UFC Fight Night: Tsarukyan vs. Gamrot,Las Vegas,2022-06-25,Umar Nurmagomedov,Nathan Maness,Umar Nurmagomedov,-909,700,Umar Nurmagomedov,favorite
UFC Fight Night: Tsarukyan vs. Gamrot,Las Vegas,2022-06-25,Chris Curtis,Rodolfo Vieira,Chris Curtis,-108,110,Chris Curtis,favorite
UFC Fight Night: Tsarukyan vs. Gamrot,Las Vegas,2022-06-25,Tafon Nchukwi,Carlos Ulberg,Carlos Ulberg,-135,135,Tafon Nchukwi,underdog
UFC Fight Night: Tsarukyan vs. Gamrot,Las Vegas,2022-06-25,T.J. Brown,Yilan Sha,Yilan Sha,-200,187,T.J. Brown,underdog
UFC Fight Night: Tsarukyan vs. Gamrot,Las Vegas,2022-06-25,Raulian Paiva,Sergey Morozov,Sergey Morozov,145,-154,Sergey Morozov,favorite
UFC Fight Night: Tsarukyan vs. Gamrot,Las Vegas,2022-06-25,Cody Durden,J.P. Buys,Cody Durden,100,-108,J.P. Buys,underdog
UFC Fight Night: Tsarukyan vs. Gamrot,Las Vegas,2022-06-25,Brian Kelleher,Mario Bautista,Mario Bautista,175,-175,Mario Bautista,favorite
UFC Fight Night: Tsarukyan vs. Gamrot,Las Vegas,2022-06-25,Jinh Yu Frey,Vanessa Demopoulos,Vanessa Demopoulos,-222,200,Jinh Yu Frey,underdog
UFC 276,Las Vegas,2022-07-02,Israel Adesanya,Jared Cannonier,Israel Adesanya,-500,460,Israel Adesanya,favorite
UFC 276,Las Vegas,2022-07-02,Alex Volkanovski,Max Holloway,Alex Volkanovski,-175,172,Alex Volkanovski,favorite
UFC 276,Las Vegas,2022-07-02,Sean Strickland,Alex Pereira,Alex Pereira,-118,114,Sean Strickland,underdog
UFC 276,Las Vegas,2022-07-02,Robbie Lawler,Bryan Barberena,Bryan Barberena,102,100,Bryan Barberena,favorite
UFC 276,Las Vegas,2022-07-02,Brad Riddell,Jalin Turner,Jalin Turner,140,-149,Jalin Turner,favorite
UFC 276,Las Vegas,2022-07-02,Donald Cerrone,Jim Miller,Jim Miller,165,-175,Jim Miller,favorite
UFC 276,Las Vegas,2022-07-02,Brad Tavares,Dricus Du Plessis,Dricus Du Plessis,160,-161,Dricus Du Plessis,favorite
UFC 276,Las Vegas,2022-07-02,Jessica Eye,Maycee Barber,Maycee Barber,275,-303,Maycee Barber,favorite
UFC 276,Las Vegas,2022-07-02,Jessica-Rose Clark,Julija Stoliarenko,Julija Stoliarenko,-145,135,Jessica-Rose Clark,underdog
UFC Fight Night: Dos Anjos vs. Fiziev,Las Vegas,2022-07-09,Rafael dos Anjos,Rafael Fiziev,Rafael Fiziev,184,-200,Rafael Fiziev,favorite
UFC Fight Night: Dos Anjos vs. Fiziev,Las Vegas,2022-07-09,Caio Borralho,Armen Petrosyan,Caio Borralho,-227,230,Caio Borralho,favorite
UFC Fight Night: Dos Anjos vs. Fiziev,Las Vegas,2022-07-09,Said Nurmagomedov,Douglas Silva de Andrade,Said Nurmagomedov,-455,380,Said Nurmagomedov,favorite
UFC Fight Night: Dos Anjos vs. Fiziev,Las Vegas,2022-07-09,Chase Sherman,Jared Vanderaa,Chase Sherman,198,-208,Jared Vanderaa,underdog
UFC Fight Night: Dos Anjos vs. Fiziev,Las Vegas,2022-07-09,Aiemann Zahabi,Ricky Turcios,Aiemann Zahabi,210,-196,Ricky Turcios,underdog
UFC Fight Night: Dos Anjos vs. Fiziev,Las Vegas,2022-07-09,Michael Johnson,Jamie Mullarkey,Jamie Mullarkey,195,-227,Jamie Mullarkey,favorite
UFC Fight Night: Dos Anjos vs. Fiziev,Las Vegas,2022-07-09,Tresean Gore,Cody Brundage,Cody Brundage,-125,140,Tresean Gore,underdog
UFC Fight Night: Dos Anjos vs. Fiziev,Las Vegas,2022-07-09,Antonina Shevchenko,Cortney Casey,Antonina Shevchenko,-172,157,Antonina Shevchenko,favorite
UFC Fight Night: Dos Anjos vs. Fiziev,Las Vegas,2022-07-09,Garrett Armfield,David Onama,David Onama,610,-769,David Onama,favorite
UFC Fight Night: Dos Anjos vs. Fiziev,Las Vegas,2022-07-09,Karl Roberson,Kennedy Nzechukwu,Kennedy Nzechukwu,146,-159,Kennedy Nzechukwu,favorite
UFC Fight Night: Dos Anjos vs. Fiziev,Las Vegas,2022-07-09,Ronnie Lawrence,Saidyokub Kakhramonov,Saidyokub Kakhramonov,-120,112,Ronnie Lawrence,underdog
UFC Fight Night: Ortega vs. Rodriguez,Long Island,2022-07-16,Brian Ortega,Yair Rodriguez,Yair Rodriguez,-175,170,Brian Ortega,underdog
UFC Fight Night: Ortega vs. Rodriguez,Long Island,2022-07-16,Michelle Waterson,Amanda Lemos,Amanda Lemos,265,-303,Amanda Lemos,favorite
UFC Fight Night: Ortega vs. Rodriguez,Long Island,2022-07-16,Li Jingliang,Muslim Salikhov,Li Jingliang,136,-143,Muslim Salikhov,underdog
UFC Fight Night: Ortega vs. Rodriguez,Long Island,2022-07-16,Matt Schnell,Su Mudaerji,Matt Schnell,225,-263,Su Mudaerji,underdog
UFC Fight Night: Ortega vs. Rodriguez,Long Island,2022-07-16,Shane Burgos,Charles Jourdain,Shane Burgos,-167,160,Shane Burgos,favorite
UFC Fight Night: Ortega vs. Rodriguez,Long Island,2022-07-16,Lauren Murphy,Miesha Tate,Lauren Murphy,180,-200,Miesha Tate,underdog
UFC Fight Night: Ortega vs. Rodriguez,Long Island,2022-07-16,Punahele Soriano,Dalcha Lungiambula,Punahele Soriano,-227,230,Punahele Soriano,favorite
UFC Fight Night: Ortega vs. Rodriguez,Long Island,2022-07-16,Ricky Simon,Jack Shore,Ricky Simon,164,-169,Jack Shore,underdog
UFC Fight Night: Ortega vs. Rodriguez,Long Island,2022-07-16,Herbert Burns,Bill Algeo,Bill Algeo,185,-200,Bill Algeo,favorite
